case_id,data_stage,brain_mask_source,modality,mean_ET,mean_WT,mean_healthy,ET_vs_healthy_abs_contrast,WT_vs_healthy_abs_contrast,ET_vs_healthy_relative_contrast,WT_vs_healthy_relative_contrast,ET_vs_healthy_contrast,WT_vs_healthy_contrast,contrast_definition,ET_voxels,WT_voxels,healthy_voxels
BraTS-GLI-00000-000,raw,case_brain_mask,T1,841.1810302734375,854.778076171875,800.0921630859375,41.0888671875,54.6859130859375,0.05135516767096076,0.06834951722938412,0.05135516767096076,0.06834951722938412,abs(mean_region - mean_healthy) / abs(mean_healthy),32731,57305,1422865
BraTS-GLI-00000-000,raw,case_brain_mask,T1ce,4206.5556640625,3284.92138671875,2035.634521484375,2170.921142578125,1249.286865234375,1.0664591898329074,0.6137088225068029,1.0664591898329074,0.6137088225068029,abs(mean_region - mean_healthy) / abs(mean_healthy),32731,57305,1422865
BraTS-GLI-00000-000,raw,case_brain_mask,T2,638.0006713867188,687.72119140625,560.7552490234375,77.24542236328125,126.9659423828125,0.13775247311158503,0.22641953437604967,0.13775247311158503,0.22641953437604967,abs(mean_region - mean_healthy) / abs(mean_healthy),32731,57305,1422865
BraTS-GLI-00000-000,raw,case_brain_mask,FLAIR,1481.555908203125,1564.893798828125,963.8707885742188,517.6851196289062,601.0230102539062,0.5370897487148446,0.6235514317670673,0.5370897487148446,0.6235514317670673,abs(mean_region - mean_healthy) / abs(mean_healthy),32731,57305,1422865
BraTS-GLI-00002-000,raw,case_brain_mask,T1,845.0130004882812,763.7393188476562,656.2531127929688,188.7598876953125,107.4862060546875,0.2876327502538818,0.16378772756937257,0.2876327502538818,0.16378772756937257,abs(mean_region - mean_healthy) / abs(mean_healthy),23651,190594,1201794
BraTS-GLI-00002-000,raw,case_brain_mask,T1ce,2990.19384765625,1992.672119140625,1888.9365234375,1101.25732421875,103.735595703125,0.5830038810487258,0.054917459859554325,0.5830038810487258,0.054917459859554325,abs(mean_region - mean_healthy) / abs(mean_healthy),23651,190594,1201794
BraTS-GLI-00002-000,raw,case_brain_mask,T2,617.0712890625,613.5960083007812,572.1981811523438,44.87310791015625,41.3978271484375,0.0784223183299653,0.07234875697274476,0.0784223183299653,0.07234875697274476,abs(mean_region - mean_healthy) / abs(mean_healthy),23651,190594,1201794
BraTS-GLI-00002-000,raw,case_brain_mask,FLAIR,1351.782470703125,1333.55322265625,785.8428955078125,565.9395751953125,547.7103271484375,0.7201688510902701,0.6969717869555931,0.7201688510902701,0.6969717869555931,abs(mean_region - mean_healthy) / abs(mean_healthy),23651,190594,1201794
BraTS-GLI-00003-000,raw,case_brain_mask,T1,781.2352905273438,757.152587890625,750.219970703125,31.01531982421875,6.9326171875,0.04134163450107895,0.009240779315702002,0.04134163450107895,0.009240779315702002,abs(mean_region - mean_healthy) / abs(mean_healthy),24252,99239,1518030
BraTS-GLI-00003-000,raw,case_brain_mask,T1ce,3775.05029296875,2144.6103515625,2030.6563720703125,1744.3939208984375,113.9539794921875,0.8590295950072429,0.05611682067902416,0.8590295950072429,0.05611682067902416,abs(mean_region - mean_healthy) / abs(mean_healthy),24252,99239,1518030
BraTS-GLI-00003-000,raw,case_brain_mask,T2,750.0090942382812,846.6290283203125,592.3633422851562,157.645751953125,254.26568603515625,0.26613016150691565,0.42923940069329264,0.26613016150691565,0.42923940069329264,abs(mean_region - mean_healthy) / abs(mean_healthy),24252,99239,1518030
BraTS-GLI-00003-000,raw,case_brain_mask,FLAIR,1715.9210205078125,1955.6826171875,1056.314208984375,659.6068115234375,899.368408203125,0.6244418620077413,0.8514212916513257,0.6244418620077413,0.8514212916513257,abs(mean_region - mean_healthy) / abs(mean_healthy),24252,99239,1518030
BraTS-GLI-00005-000,raw,case_brain_mask,T1,985.6825561523438,949.1067504882812,906.2438354492188,79.438720703125,42.8629150390625,0.08765711566330024,0.047297331427160166,0.08765711566330024,0.047297331427160166,abs(mean_region - mean_healthy) / abs(mean_healthy),23854,124783,1168953
